environment,corpus_name,backend,seed,method,budget,n_queries,selected_probe_pairs,ndcg,recall_at_10,delta_vs_zero_budget,delta_vs_original_frozen_router,delta_recall_vs_zero_budget,delta_recall_vs_original_frozen_router,changed_action_fraction_vs_zero_budget,changed_action_fraction_vs_original_frozen_router,posterior_world_0,posterior_world_1,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens
nfcorpus_bm25,nfcorpus,bm25,11,random,8,65,8,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.7140093973063584,0.2859906026936415,97.41325913557375,16.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,random,16,65,16,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.3518897395830782,0.6481102604169219,97.41325913557375,35.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,random,32,65,32,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.2971484079662402,0.7028515920337598,97.41325913557375,73.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,fixed,0,65,0,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,fixed,4,65,4,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.38756682752534627,0.6124331724746538,97.41325913557375,9.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,fixed,8,65,8,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.8105588640250637,0.18944113597493623,97.41325913557375,18.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,fixed,16,65,16,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.7627278546910831,0.23727214530891705,97.41325913557375,36.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,fixed,32,65,32,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.7471952887478701,0.2528047112521299,97.41325913557375,72.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,information_gain,0,65,0,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,information_gain,4,65,4,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.27624394561821275,0.7237560543817874,97.41325913557375,8.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,information_gain,8,65,8,0.2455191904189422,0.25775147928994085,0.000413390920050688,0.000413390920050688,0.0,0.0,0.06153846153846154,0.06153846153846154,0.04758556476414809,0.9524144352358518,97.41325913557375,16.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,information_gain,16,65,16,0.24756796301988784,0.25775147928994085,0.0024621635209963054,0.0024621635209963054,0.0,0.0,0.9384615384615385,0.9384615384615385,0.004003679255791609,0.9959963207442083,97.41325913557375,37.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
