environment,seed,budget,method,ndcg,delta_vs_source_router,recall_at_10,delta_recall_at_10_vs_source_router,changed_action_fraction,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens,corpus_name,backend,selected_probe_pairs
nfcorpus_dense,47,16,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,36.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,47,32,fixed,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,72.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,47,0,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,4,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,8.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,47,8,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,16.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,47,16,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,32.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,47,32,information_gain,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,64.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
nfcorpus_dense,47,0,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,0
nfcorpus_dense,47,4,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,10.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,4
nfcorpus_dense,47,8,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,18.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,8
nfcorpus_dense,47,16,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,35.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,16
nfcorpus_dense,47,32,learned_value,0.2347861132448854,0.0,0.25276979430825586,0.0,0.0,96.14452316188545,71.0,16.0,48.0,24033.0,5850.0,1.0,0.0,0.0,0.0,0.0,nfcorpus,dense,32
scifact_bm25,11,0,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,11,4,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,11,8,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,11,16,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
